date,GFDEGDQ188S
1/1/1966,40.33999
4/1/1966,39.26763
7/1/1966,39.62091
10/1/1966,39.51977
1/1/1967,39.20383
4/1/1967,38.03292
7/1/1967,38.82145
10/1/1967,39.10231
1/1/1968,38.42951
4/1/1968,36.96379
7/1/1968,37.30897
10/1/1968,36.98532
1/1/1969,36.19577
4/1/1969,34.97403
7/1/1969,35.01946
10/1/1969,35.46954
1/1/1970,35.38879
4/1/1970,34.67329
7/1/1970,34.86717
10/1/1970,35.74822
1/1/1971,34.50345
4/1/1971,34.36089
7/1/1971,35.00694
10/1/1971,35.63237
1/1/1972,34.72622
4/1/1972,33.67383
7/1/1972,33.62447
10/1/1972,33.74758
1/1/1973,33.29287
4/1/1973,32.34466
7/1/1973,32.12455
10/1/1973,31.77379
1/1/1974,31.76449
4/1/1974,30.99462
7/1/1974,30.86269
10/1/1974,30.79768
1/1/1975,31.53604
4/1/1975,32.27817
7/1/1975,32.38043
10/1/1975,32.7301
1/1/1976,32.98513
4/1/1976,33.49464
7/1/1976,33.64333
10/1/1976,33.78753
1/1/1977,33.65136
4/1/1977,32.80422
7/1/1977,32.98791
10/1/1977,33.21873
1/1/1978,33.5012
4/1/1978,32.12444
7/1/1978,32.21407
10/1/1978,31.86206
1/1/1979,31.53601
4/1/1979,31.06277
7/1/1979,30.98402
10/1/1979,31.02615
1/1/1980,30.94982
4/1/1980,31.37303
7/1/1980,31.77687
10/1/1980,31.157
1/1/1981,30.87284
4/1/1981,30.70875
7/1/1981,30.60333
10/1/1981,31.35587
1/1/1982,32.41298
4/1/1982,32.40213
7/1/1982,33.9253
10/1/1982,35.18156
1/1/1983,35.82911
4/1/1983,36.87167
7/1/1983,37.3311
10/1/1983,37.17553
1/1/1984,37.45447
4/1/1984,37.72687
7/1/1984,38.49586
10/1/1984,40.08547
1/1/1985,40.44121
4/1/1985,41.31983
7/1/1985,41.55909
10/1/1985,43.78715
1/1/1986,44.07415
4/1/1986,45.30682
7/1/1986,46.12536
10/1/1986,47.55286
1/1/1987,47.57835
4/1/1987,48.04867
7/1/1987,48.1165
10/1/1987,48.55667
1/1/1988,49.03151
4/1/1988,49.08744
7/1/1988,49.25732
10/1/1988,49.71548
1/1/1989,49.73276
4/1/1989,49.8876
7/1/1989,50.17117
10/1/1989,51.38111
1/1/1990,51.96856
4/1/1990,52.7473
7/1/1990,53.75313
10/1/1990,56.03613
1/1/1991,57.41652
4/1/1991,57.74551
7/1/1991,59.06123
10/1/1991,60.68599
1/1/1992,60.99679
4/1/1992,61.57938
7/1/1992,61.89802
10/1/1992,62.52256
1/1/1993,62.86657
4/1/1993,63.91524
7/1/1993,64.10093
10/1/1993,64.66861
1/1/1994,64.30709
4/1/1994,64.10716
7/1/1994,64.01176
10/1/1994,64.38584
1/1/1995,64.66271
4/1/1995,65.31294
7/1/1995,64.73906
10/1/1995,64.18282
1/1/1996,65.04171
4/1/1996,64.2497
7/1/1996,64.25469
10/1/1996,64.44697
1/1/1997,64.34428
4/1/1997,63.10907
7/1/1997,62.48709
10/1/1997,62.77032
1/1/1998,62.50988
4/1/1998,61.85196
7/1/1998,60.58693
10/1/1998,60.40696
1/1/1999,60.04894
4/1/1999,59.19227
7/1/1999,58.39258
10/1/1999,58.34336
1/1/2000,57.72134
4/1/2000,55.48491
7/1/2000,54.99213
10/1/2000,54.2579
1/1/2001,55.14434
4/1/2001,54.03165
7/1/2001,54.79763
10/1/2001,55.75216
1/1/2002,55.6965
4/1/2002,56.27087
7/1/2002,56.7026
10/1/2002,57.91028
1/1/2003,57.81906
4/1/2003,58.96101
7/1/2003,58.64541
10/1/2003,59.44466
1/1/04,59.8071
4/1/04,60.05487
7/1/04,59.96643
10/1/04,60.63713
1/1/05,60.91302
4/1/05,60.64153
7/1/05,60.35856
10/1/05,61.32008
1/1/06,61.55642
4/1/06,61.22142
7/1/06,61.3328
10/1/06,61.82689
1/1/07,62.25297
4/1/07,61.57219
7/1/07,61.84826
10/1/07,62.71924
1/1/08,64.17278
4/1/08,63.85172
7/1/08,67.28455
10/1/08,73.24515
1/1/09,77.10496
4/1/09,80.28013
7/1/09,82.42733
10/1/09,84.02935
1/1/10,86.51175
4/1/10,88.12832
7/1/10,89.56528
10/1/10,91.61134
1/1/11,92.95614
4/1/11,92.1938
7/1/11,94.52098
10/1/11,96.09072
1/1/12,97.12308
4/1/12,97.82763
7/1/12,98.44787
10/1/12,100.07497
1/1/13,100.73997
4/1/13,100.05758
7/1/13,98.72797
10/1/13,99.79118
1/1/14,102.34617
4/1/14,100.6513
7/1/14,100.11145
10/1/14,101.2805
1/1/15,100.49009
4/1/15,99.30094
7/1/15,98.63595
10/1/15,102.64192
1/1/16,103.98904
4/1/16,103.58005
7/1/16,103.60355
10/1/16,104.64891
1/1/17,102.93741
4/1/17,102.08817
7/1/17,102.80463
10/1/17,102.27408
1/1/18,103.74395
4/1/18,102.98411
7/1/18,103.4489
10/1/1918,105.04941
1/1/1919,104.34017
4/1/1919,102.92245
7/1/1919,104.61492
10/1/1919,105.78193
1/1/1920,106.77007
4/1/1920,132.66287
7/1/1920,124.14692
10/1/1920,125.62864
1/1/1921,124.03752
4/1/1921,121.78582
7/1/1921,118.54086
10/1/1921,119.3588
1/1/1922,120.39819
4/1/1922,118.20207
7/1/1922,117.43832
10/1/1922,117.36678
1/1/1923,115.58614
4/1/1923,117.44355
7/1/1923,118.13897
10/1/1923,119.61944
1/1/1924,120.47631
4/1/1924,119.50314
7/1/1924,120.17172
10/1/1924,121.43633
1/1/1925,120.54515
4/1/1925,118.78171
7/1/1925,121.02875
